date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:48	1938/1938	---M--	200	added ('OK')	text/plain	etag:%221e31e9-792-519403183ead8%22	http://che.uop.edu.pk/robots.txt		(from )
11:23:50	40232/40232	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:31%20GMT	http://che.uop.edu.pk/	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/index.html	(from )
11:23:51	894/894	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221e317d-37e-51940317ad2b8%22	http://che.uop.edu.pk/favicon.ico	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/favicon.ico	(from http://che.uop.edu.pk/)
11:23:54	40232/40232	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:33%20GMT	http://che.uop.edu.pk/index.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/index-2.html	(from http://che.uop.edu.pk/)
11:23:54	32650/32650	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:34%20GMT	http://che.uop.edu.pk/che-history.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/che-history.html	(from http://che.uop.edu.pk/)
11:23:56	39419/39419	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:34%20GMT	http://che.uop.edu.pk/leadership.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/leadership.html	(from http://che.uop.edu.pk/)
11:23:58	39925/39925	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:36%20GMT	http://che.uop.edu.pk/foundation-faculty.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/foundation-faculty.html	(from http://che.uop.edu.pk/)
11:23:58	29695/29695	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:37%20GMT	http://che.uop.edu.pk/contact-us.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/contact-us.html	(from http://che.uop.edu.pk/)
11:23:59	30790/30790	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:37%20GMT	http://che.uop.edu.pk/art-design-introduction.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/art-design-introduction.html	(from http://che.uop.edu.pk/)
11:23:59	32972/32972	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:38%20GMT	http://che.uop.edu.pk/food-nutrition-sciences-introduction.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/food-nutrition-sciences-introduction.html	(from http://che.uop.edu.pk/)
11:24:02	31473/31473	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:41%20GMT	http://che.uop.edu.pk/human-development-family-studies-introduction.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/human-development-family-studies-introduction.html	(from http://che.uop.edu.pk/)
11:24:02	31042/31042	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:41%20GMT	http://che.uop.edu.pk/resource-facility-management-introduction.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/resource-facility-management-introduction.html	(from http://che.uop.edu.pk/)
11:24:03	32224/32224	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:42%20GMT	http://che.uop.edu.pk/textile-clothing-introduction.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/textile-clothing-introduction.html	(from http://che.uop.edu.pk/)
11:24:04	29320/29320	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:43%20GMT	http://che.uop.edu.pk/computer-science-introduction.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/computer-science-introduction.html	(from http://che.uop.edu.pk/)
11:24:05	26876/26876	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:45%20GMT	http://che.uop.edu.pk/pak-studies-introduction.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/pak-studies-introduction.html	(from http://che.uop.edu.pk/)
11:24:05	30960/30960	---MC-	200	added ('OK')	text/html	date:Wed,%2027%20Nov%202024%2005:35:44%20GMT	http://che.uop.edu.pk/english-introduction.php	C:/My%20Web%20Sites/che.uop.edu.pk/che.uop.edu.pk/english-introduction.html	(from http://che.uop.edu.pk/)
